CONSTITUENCY,CONSTITUENCY_LABEL
E14000893,Reigate
E14000894,Ribble Valley
E14000895,Richmond (Yorks)
E14000896,Richmond Park
E14000897,Rochdale
E14000898,Rochester and Strood
E14000899,Rochford and Southend East
E14000900,Romford
E14000901,Romsey and Southampton North
E14000902,Rossendale and Darwen
E14000903,Rother Valley
E14000904,Rotherham
E14000905,Rugby
E14000906,"Ruislip, Northwood and Pinner"
E14000907,Runnymede and Weybridge
E14000908,Rushcliffe
E14000909,Rutland and Melton
E14000910,Saffron Walden
E14000911,Salford and Eccles
E14000912,Salisbury
E14000913,Scarborough and Whitby
E14000914,Scunthorpe
E14000915,Sedgefield
E14000916,Sefton Central
E14000917,Selby and Ainsty
E14000918,Sevenoaks
E14000919,Sheffield Central
E14000920,Sheffield South East
E14000921,"Sheffield, Brightside and Hillsborough"
E14000922,"Sheffield, Hallam"
E14000923,"Sheffield, Heeley"
E14000924,Sherwood
E14000925,Shipley
E14000926,Shrewsbury and Atcham
E14000927,Sittingbourne and Sheppey
E14000928,Skipton and Ripon
E14000929,Sleaford and North Hykeham
E14000930,Slough
E14000931,Solihull
E14000932,Somerton and Frome
E14000933,South Basildon and East Thurrock
E14000934,South Cambridgeshire
E14000935,South Derbyshire
E14000936,South Dorset
E14000937,South East Cambridgeshire
E14000938,South East Cornwall
E14000939,South Holland and The Deepings
E14000940,South Leicestershire
E14000941,South Norfolk
E14000942,South Northamptonshire
E14000943,South Ribble
E14000944,South Shields
E14000945,South Staffordshire
E14000946,South Suffolk
E14000947,South Swindon
E14000948,South Thanet
E14000949,South West Bedfordshire
E14000950,South West Devon
E14000951,South West Hertfordshire
E14000952,South West Norfolk
E14000953,South West Surrey
E14000954,South West Wiltshire
E14000955,"Southampton, Itchen"
E14000956,"Southampton, Test"
E14000957,Southend West
E14000958,Southport
E14000959,Spelthorne
E14000960,St Albans
E14000961,St Austell and Newquay
E14000962,St Helens North
E14000963,St Helens South and Whiston
E14000964,St Ives
E14000965,Stafford
E14000966,Staffordshire Moorlands
E14000967,Stalybridge and Hyde
E14000968,Stevenage
E14000969,Stockport
E14000970,Stockton North
E14000971,Stockton South
E14000972,Stoke-on-Trent Central
E14000973,Stoke-on-Trent North
E14000974,Stoke-on-Trent South
E14000975,Stone
E14000976,Stourbridge
E14000977,Stratford-on-Avon
E14000978,Streatham
E14000979,Stretford and Urmston
E14000980,Stroud
E14000981,Suffolk Coastal
E14000982,Sunderland Central
E14000983,Surrey Heath
E14000984,Sutton and Cheam
E14000985,Sutton Coldfield
E14000986,Tamworth
E14000987,Tatton
E14000988,Taunton Deane
E14000989,Telford
E14000990,Tewkesbury
E14000991,The Cotswolds
E14000992,The Wrekin
E14000993,Thirsk and Malton
E14000994,Thornbury and Yate
E14000995,Thurrock
E14000996,Tiverton and Honiton
E14000997,Tonbridge and Malling
E14000998,Tooting
E14000999,Torbay
E14001000,Torridge and West Devon
E14001001,Totnes
E14001002,Tottenham
E14001003,Truro and Falmouth
E14001004,Tunbridge Wells
E14001005,Twickenham
E14001006,Tynemouth
E14001007,Uxbridge and South Ruislip
E14001008,Vauxhall
E14001009,Wakefield
E14001010,Wallasey
E14001011,Walsall North
E14001012,Walsall South
E14001013,Walthamstow
E14001014,Wansbeck
E14001015,Wantage
E14001016,Warley
E14001017,Warrington North
E14001018,Warrington South
E14001019,Warwick and Leamington
E14001020,Washington and Sunderland West
E14001021,Watford
E14001022,Waveney
E14001023,Wealden
E14001024,Weaver Vale
E14001025,Wellingborough
E14001026,Wells
E14001027,Welwyn Hatfield
E14001028,Wentworth and Dearne
E14001029,West Bromwich East
E14001030,West Bromwich West
E14001031,West Dorset
E14001032,West Ham
E14001033,West Lancashire
E14001034,West Suffolk
E14001035,West Worcestershire
E14001036,Westminster North
E14001037,Westmorland and Lonsdale
E14001038,Weston-Super-Mare
E14001039,Wigan
E14001040,Wimbledon
E14001041,Winchester
E14001042,Windsor
E14001043,Wirral South
E14001044,Wirral West
E14001045,Witham
E14001046,Witney
E14001047,Woking
E14001048,Wokingham
E14001049,Wolverhampton North East
E14001050,Wolverhampton South East
E14001051,Wolverhampton South West
E14001052,Worcester
E14001053,Workington
E14001054,Worsley and Eccles South
E14001055,Worthing West
E14001056,Wycombe
E14001057,Wyre and Preston North
E14001058,Wyre Forest
E14001059,Wythenshawe and Sale East
E14001060,Yeovil
E14001061,York Central
E14001062,York Outer
E14001063,
E14001064,
E14001065,
E14001066,
E14001067,
E14001068,
E14001069,
E14001070,
E14001071,
E14001072,
E14001073,
E14001074,
E14001075,
E14001076,
E14001077,
E14001078,
E14001079,
E14001080,
E14001081,
E14001082,
E14001083,
E14001084,
E14001085,
E14001086,
E14001087,
E14001088,
E14001089,
E14001090,
E14001091,
E14001092,
E14001093,
E14001094,
E14001095,
E14001096,
E14001097,
E14001098,
E14001099,
E14001100,
E14001101,
E14001102,
E14001103,
E14001104,
E14001105,
E14001106,
E14001107,
E14001108,
E14001109,
E14001110,
E14001111,
E14001112,
E14001113,
E14001114,
E14001115,
E14001116,
E14001117,
E14001118,
E14001119,
E14001120,
E14001121,
E14001122,
E14001123,
E14001124,
E14001125,
E14001126,
E14001127,
E14001128,
E14001129,
E14001130,
E14001131,
E14001132,
E14001133,
E14001134,
E14001135,
E14001136,
E14001137,
E14001138,
E14001139,
E14001140,
E14001141,
E14001142,
E14001143,
E14001144,
E14001145,
E14001146,
E14001147,
E14001148,
E14001149,
E14001150,
E14001151,
E14001152,
E14001153,
E14001154,
E14001155,
E14001156,
E14001157,
E14001158,
E14001159,
E14001160,
E14001161,
E14001162,
E14001163,
E14001164,
E14001165,
E14001166,
E14001167,
E14001168,
E14001169,
E14001170,
E14001171,
E14001172,
E14001173,
E14001174,
E14001175,
E14001176,
E14001177,
E14001178,
E14001179,
E14001180,
E14001181,
E14001182,
E14001183,
E14001184,
E14001185,
E14001186,
E14001187,
E14001188,
E14001189,
E14001190,
E14001191,
E14001192,
E14001193,
E14001194,
E14001195,
E14001196,
E14001197,
E14001198,
E14001199,
E14001200,
E14001201,
E14001202,
E14001203,
E14001204,
E14001205,
E14001206,
E14001207,
E14001208,
E14001209,
E14001210,
E14001211,
E14001212,
E14001213,
E14001214,
E14001215,
E14001216,
E14001217,
E14001218,
E14001219,
E14001220,
E14001221,
E14001222,
E14001223,
E14001224,
E14001225,
E14001226,
E14001227,
E14001228,
E14001229,
E14001230,
E14001231,
E14001232,
E14001233,
E14001234,
E14001235,
E14001236,
E14001237,
E14001238,
E14001239,
E14001240,
E14001241,
E14001242,
E14001243,
E14001244,
E14001245,
E14001246,
E14001247,
E14001248,
E14001249,
E14001250,
E14001251,
E14001252,
E14001253,
E14001254,
E14001255,
E14001256,
E14001257,
E14001258,
E14001259,
E14001260,
E14001261,
E14001262,
E14001263,
E14001264,
E14001265,
E14001266,
E14001267,
E14001268,
E14001269,
E14001270,
E14001271,
E14001272,
E14001273,
E14001274,
E14001275,
E14001276,
E14001277,
E14001278,
E14001279,
E14001280,
E14001281,
E14001282,
E14001283,
E14001284,
E14001285,
E14001286,
E14001287,
E14001288,
E14001289,
E14001290,
E14001291,
E14001292,
E14001293,
E14001294,
E14001295,
E14001296,
E14001297,
E14001298,
E14001299,
E14001300,
E14001301,
E14001302,
E14001303,
E14001304,
E14001305,
E14001306,
E14001307,
E14001308,
E14001309,
E14001310,
E14001311,
E14001312,
E14001313,
E14001314,
E14001315,
E14001316,
E14001317,
E14001318,
E14001319,
E14001320,
E14001321,
E14001322,
E14001323,
E14001324,
E14001325,
E14001326,
E14001327,
E14001328,
E14001329,
E14001330,
E14001331,
E14001332,
E14001333,
E14001334,
E14001335,
E14001336,
E14001337,
E14001338,
E14001339,
E14001340,
E14001341,
E14001342,
E14001343,
E14001344,
E14001345,
E14001346,
E14001347,
E14001348,
E14001349,
E14001350,
E14001351,
E14001352,
E14001353,
E14001354,
E14001355,
E14001356,
E14001357,
E14001358,
E14001359,
E14001360,
E14001361,
E14001362,
E14001363,
E14001364,
E14001365,
E14001366,
E14001367,
E14001368,
E14001369,
E14001370,
E14001371,
E14001372,
E14001373,
E14001374,
E14001375,
E14001376,
E14001377,
E14001378,
E14001379,
E14001380,
E14001381,
E14001382,
E14001383,
E14001384,
E14001385,
E14001386,
E14001387,
E14001388,
E14001389,
E14001390,
E14001391,
E14001392,
E14001393,
E14001394,
E14001395,
E14001396,
E14001397,
E14001398,
E14001399,
E14001400,
E14001401,
E14001402,
E14001403,
E14001404,
E14001405,
E14001406,
E14001407,
E14001408,
E14001409,
E14001410,
E14001411,
E14001412,
E14001413,
E14001414,
E14001415,
E14001416,
E14001417,
E14001418,
E14001419,
E14001420,
E14001421,
E14001422,
E14001423,
E14001424,
E14001425,
E14001426,
E14001427,
E14001428,
E14001429,
E14001430,
E14001431,
E14001432,
E14001433,
E14001434,
E14001435,
E14001436,
E14001437,
E14001438,
E14001439,
E14001440,
E14001441,
E14001442,
E14001443,
E14001444,
E14001445,
E14001446,
E14001447,
E14001448,
E14001449,
E14001450,
E14001451,
E14001452,
E14001453,
E14001454,
E14001455,
E14001456,
E14001457,
E14001458,
E14001459,
E14001460,
E14001461,
E14001462,
E14001463,
E14001464,
E14001465,
E14001466,
E14001467,
E14001468,
E14001469,
E14001470,
E14001471,
E14001472,
E14001473,
E14001474,
E14001475,
E14001476,
E14001477,
E14001478,
E14001479,
E14001480,
E14001481,
E14001482,
E14001483,
E14001484,
E14001485,
E14001486,
E14001487,
E14001488,
E14001489,
E14001490,
E14001491,
E14001492,
E14001493,
E14001494,
E14001495,
E14001496,
E14001497,
E14001498,
E14001499,
E14001500,
E14001501,
E14001502,
E14001503,
E14001504,
E14001505,
E14001506,
E14001507,
E14001508,
E14001509,
E14001510,
E14001511,
E14001512,
E14001513,
E14001514,
E14001515,
E14001516,
E14001517,
E14001518,
E14001519,
E14001520,
E14001521,
E14001522,
E14001523,
E14001524,
E14001525,
E14001526,
E14001527,
E14001528,
E14001529,
E14001530,
E14001531,
E14001532,
E14001533,
E14001534,
E14001535,
E14001536,
E14001537,
E14001538,
E14001539,
E14001540,
E14001541,
E14001542,
E14001543,
E14001544,
E14001545,
E14001546,
E14001547,
E14001548,
E14001549,
E14001550,
E14001551,
E14001552,
E14001553,
E14001554,
E14001555,
E14001556,
E14001557,
E14001558,
E14001559,
E14001560,
E14001561,
E14001562,
E14001563,
E14001564,
E14001565,
E14001566,
E14001567,
E14001568,
E14001569,
E14001570,
E14001571,
E14001572,
E14001573,
E14001574,
E14001575,
E14001576,
E14001577,
E14001578,
E14001579,
E14001580,
E14001581,
E14001582,
E14001583,
E14001584,
E14001585,
E14001586,
E14001587,
E14001588,
E14001589,
E14001590,
E14001591,
E14001592,
E14001593,
E14001594,
E14001595,
E14001596,
E14001597,
E14001598,
E14001599,
E14001600,
E14001601,
E14001602,
E14001603,
E14001604,
E14001605,
Unknown,
W07000041,Ynys Môn
W07000042,Delyn
W07000043,Alyn and Deeside
W07000044,Wrexham
W07000045,Llanelli
W07000046,Gower
W07000047,Swansea West
W07000048,Swansea East
W07000049,Aberavon
W07000050,Cardiff Central
W07000051,Cardiff North
W07000052,Rhondda
W07000053,Torfaen
W07000054,Monmouth
W07000055,Newport East
W07000056,Newport West
W07000057,Arfon
W07000058,Aberconwy
W07000059,Clwyd West
W07000060,Vale of Clwyd
W07000061,Dwyfor Meirionnydd
W07000062,Clwyd South
W07000063,Montgomeryshire
W07000064,Ceredigion
W07000065,Preseli Pembrokeshire
W07000066,Carmarthen West and South Pembrokeshire
W07000067,Carmarthen East and Dinefwr
W07000068,Brecon and Radnorshire
W07000069,Neath
W07000070,Cynon Valley
W07000071,Merthyr Tydfil and Rhymney
W07000072,Blaenau Gwent
W07000073,Bridgend
W07000074,Ogmore
W07000075,Pontypridd
W07000076,Caerphilly
W07000077,Islwyn
W07000078,Vale of Glamorgan
W07000079,Cardiff West
W07000080,Cardiff South and Penarth
W07000081,
W07000082,
W07000083,
W07000084,
W07000085,
W07000086,
W07000087,
W07000088,
W07000089,
W07000090,
W07000091,
W07000092,
W07000093,
W07000094,
W07000095,
W07000096,
W07000097,
W07000098,
W07000099,
W07000100,
W07000101,
W07000102,
W07000103,
W07000104,
W07000105,
W07000106,
W07000107,
W07000108,
W07000109,
W07000110,
W07000111,
W07000112,
